id_work;isAir;idAir;title;line;best-candidate-title;
1079;1;1;CHŒUR DE SOLLICITEURS.;68;AIR : Ah ! de plaisir notre âme est enivrée.
1079;1;2;CHŒUR.=Qu’on nous place,;97;AIR : Qu'on nous place.
1079;1;3;CHŒUR.=Qu’on nous place,;111;AIR : Qu'on nous place.
1079;1;4;Air du Charlatanisme.;210;AIR du Charlatanisme.
1079;1;5;Air de la Sentinelle.;301;AIR de la Sentinelle.
1079;1;6;AIR : Ces Postillons,;336;AIR : Accourez tous, venez m'entendre.
1079;1;7;Air des Maris ont tort.;417;AIR des Maris ont tort.
1079;1;8;AIR : Comme il m’aimait !;492;AIR : Accourez tous, venez m'entendre.
1079;1;9;AIR :=Pour garder son rang, son emploi,;664;AIR : Pour garder son rang, son emploi.
1079;1;10;AIR :=Juge éclairé de nos services,;705;AIR : Juge éclairé de nos services.
1079;1;11;AIR du Maçon.;749;AIR du Maçon.
1079;1;12;AIR : Je n’ai pas le sou.;846;AIR : Je n'ai pas le sou.
1079;1;13;AIR : Je n’ai point vu ces bosquets de lauriers.;973;AIR : Je n'ai pas vu ces bosquets de lauriers.
1079;1;14;AIR : Il n’est pas temps de nous quitter.;1090;AIR : Adieu bonheur.
1079;1;15;CHŒUR.=AIR : Au lever de la mariée.;1175;AIR du lever de la mariée.
1079;1;16;AIR de Marianne.;1223;AIR de Marianne.
1079;1;17;AIR : Ce luth galant.;1324;AIR : La pastourelle.
1079;1;18;Air des Gascons.;1446;AIR des Gascons.
1079;1;19;AIR : Sans murmurer.;1628;AIR : Accourez tous, venez m'entendre.
1079;1;20;AIR du Triomphe de la Muette.;1688;AIR du Triomphe de la Muette de Portici.
1079;1;21;AIR : Vos Maris en Palestine.;1834;AIR : Ah ! ah !
1079;1;22;Air du Vaudeville de Fanchon.;1955;AIR du Vaudeville de Fanchon.
1079;1;23;AIR des Scythes.;2025;AIR des Sybarites.
1079;1;24;AIR :=Dans les bureaux où lʼ citoyen;2216;AIR : Dans les bureaux où l' citoyen.
1079;1;25;CHŒUR.=AIR : Oh ! la bonne folie !;2273;AIR : Oh ! la bonne folie !
1079;1;26;AIR :=Grand ou non, vieux ou nouveau,;2342;AIR : Grand ou non, vieux ou nouveau.
1079;1;27;AIR : Paris est comme autrefois.;2457;AIR : Adieu bonheur.
1079;1;28;AIR du chapitre second.;2560;AIR du Chapitre second.
1079;1;29;AIR des Comédiens.;2702;AIR : Accourez tous, venez m'entendre.
1079;1;30;Air de M. Doche.;2814;AIR d'Arwed de Doche.
