id_work;isAir;idAir;title;line;best-candidate-title;
1051;1;1;CHOEUR .=Ensemble .;234;AIR : Quand nous y vivions ensemble.
1051;0;;Air : Chaur des buveurs de Robert - le - Diable .;240;;
1051;1;2;CHOEUR .=Allons ! allons ! mellons -nous à l'ouvrage !;246;AIR : Ah ! l'heureuse journée.
1051;1;3;Air du vaudeville de Michel et Christine.;286;AIR du Vaudeville de Michel et Christine.
1051;1;4;CHOEUR ,=Allons , allons , mellons - nous à l'ouvrage , etc.';318;AIR : Ah ! l'heureuse journée.
1051;1;5;Air du vaudeville de Partie et Revanche .;356;AIR du Vaudeville de Partie et Revanche.
1051;1;6;Air : Ces postillons sont d'une maladresse !;650;AIR : Adieu bonheur.
1051;1;7;CHOEUR .=NESTINE , Mme GAVET .;2404;AIR : Avez vous sous le même toit.
1051;0;;AIR :;2410;;
1051;1;8;CHOEUR GÉNÉRAL .;2531;AIR : Mon général, je vais donc te revoir.
1051;1;9;Air de la Tentation .;2557;AIR de la Tentation.
1051;1;10;AIR du vaudeville du Jour des Noces .;2647;AIR : Adieu bonheur.
